PLAYER_NAME,STATUS,COMMENT
D.J. Humphries,Injured Reserve,"Jan 8: Head coach Jonathan Gannon noted Monday that Humphries (knee) has to wait to get surgery for his torn ACL, Bob McManaman of The Arizona Republic reports."
Dante Stills,Injured Reserve,"Jan 5: The Cardinals placed Stills (knee) on injured reserve Friday."
Jonathan Ledbetter,Injured Reserve,"Dec 29: The Cardinals placed Ledbetter (knee) on injured reserve Friday."
Marquise Brown,Injured Reserve,"Dec 29: Coach Jonathan Gannon said Friday that Brown (heel) will be placed on injured reserve, ending his 2023 campaign, Darren Urban of the Cardinals' official site reports."
Josh Woods,Injured Reserve,"Dec 20: Arizona placed Woods (abdomen) on injured reserve Wednesday, Darren Urban of the team's official site reports."
Geoff Swaim,Injured Reserve,"Dec 20: The Cardinals placed Swaim (calf) on injured reserve Wednesday, Darren Urban of the team's official site reports."
Kyzir White,Injured Reserve,"Nov 21: White (biceps) was placed on injured reserve Tuesday, Darrin Urban of the Cardinals' official website reports."
Carlos Watkins,Injured Reserve,"Sep 23: The Cardinals placed Watkins (biceps) on injured reserve Saturday, Darren Urban of the team's official site reports."
