,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,PROJ,TOTAL,rank,DATE
0,Justin Jefferson,Min,WR,20.4,36,1,01-09-24
1,CeeDee Lamb,Dal,WR,22.8,35.5,2,01-09-24
2,Nico Collins,Hou,WR,17.3,34.5,3,01-09-24
3,James Conner,Ari,RB,16.8,30.4,1,01-09-24
4,Breece Hall,NYJ,RB,17.3,29,2,01-09-24
5,Jonathan Taylor,Ind,RB,14.1,27.6,3,01-09-24
6,Amon-Ra St. Brown,Det,WR,17.7,27.4,4,01-09-24
7,Derek Carr,NO,QB,14.7,27.16,1,01-09-24
8,Carson Wentz,LAR,QB,13.2,26.12,2,01-09-24
9,Bijan Robinson,Atl,RB,16,26.1,4,01-09-24
10,Dak Prescott,Dal,QB,21.2,25.16,3,01-09-24
11,Joe Mixon,Cin,RB,16.5,24.7,5,01-09-24
12,Najee Harris,Pit,RB,12.3,24.3,6,01-09-24
13,Dontayvion Wicks,GB,WR,7.9,24.1,5,01-09-24
14,Evan Engram,Jax,TE,12.9,23.9,1,01-09-24
15,Saquon Barkley,NYG,RB,17.6,23.7,7,01-09-24
16,Quez Watkins,Phi,WR,4,23.3,6,01-09-24
17,Josh Allen,Buf,QB,20.3,23.06,4,01-09-24
18,David Bell,Cle,WR,6.7,22.8,7,01-09-24
19,Calvin Ridley,Jax,WR,14.2,22.6,8,01-09-24
20,Jakobi Meyers,LV,WR,11.6,21.6,9,01-09-24
21,Tyjae Spears,Ten,RB,11.9,21.6,8,01-09-24
22,Derrick Henry,Ten,RB,12.6,21.3,9,01-09-24
23,Tyreek Hill,Mia,WR,23,21.2,10,01-09-24
24,Jared Goff,Det,QB,15.4,20.8,5,01-09-24
25,Nick Mullens,Min,QB,15.2,20.64,6,01-09-24
26,Andrei Iosivas,Cin,WR,4,20.6,11,01-09-24
27,C.J. Stroud,Hou,QB,18.4,20.56,7,01-09-24
28,Javonte Williams,Den,RB,9.4,20.5,10,01-09-24
29,Geno Smith,Sea,QB,18.2,20.36,8,01-09-24
30,A.T. Perry,NO,WR,4,20.3,12,01-09-24
31,Aaron Jones,GB,RB,14.7,19.1,11,01-09-24
32,Diontae Johnson,Pit,WR,9.6,18.9,13,01-09-24
33,Jordan Love,GB,QB,16.6,18.54,9,01-09-24
34,Jake Browning,Cin,QB,15.1,18.04,10,01-09-24
35,Aidan O'Connell,LV,QB,13.8,17.86,11,01-09-24
36,Kyler Murray,Ari,QB,18.6,17.78,12,01-09-24
37,Tyrod Taylor,NYG,QB,15.4,17.68,13,01-09-24
38,DeAndre Hopkins,Ten,WR,13.4,17.6,14,01-09-24
39,Sam Darnold,SF,QB,13.3,17.46,14,01-09-24
40,Darius Slayton,NYG,WR,8.2,17.2,15,01-09-24
41,Tyler Lockett,Sea,WR,13.3,17.1,16,01-09-24
42,Jerry Jeudy,Den,WR,9,16.9,17,01-09-24
43,Tony Pollard,Dal,RB,14.4,16.6,12,01-09-24
44,Khalil Shakir,Buf,WR,5.4,16.5,18,01-09-24
45,Trevor Lawrence,Jax,QB,17.3,16.2,15,01-09-24
46,Brandin Cooks,Dal,WR,10.4,16.2,19,01-09-24
47,Easton Stick,LAC,QB,15.5,16.02,16,01-09-24
48,Stefon Diggs,Buf,WR,16.1,15.7,20.5,01-09-24
49,Jordan Addison,Min,WR,12.1,15.7,20.5,01-09-24
50,Desmond Ridder,Atl,QB,12.4,15.64,17,01-09-24
51,Davante Adams,LV,WR,16.8,15.6,22,01-09-24
52,Rashid Shaheed,NO,WR,10,15.5,23.5,01-09-24
53,Michael Wilson,Ari,WR,9,15.5,23.5,01-09-24
54,Dalton Kincaid,Buf,TE,9.4,15.4,2,01-09-24
55,Jayden Reed,GB,WR,12.6,15.2,25,01-09-24
56,Kendre Miller,NO,RB,6.2,14.9,13,01-09-24
57,Elijah Mitchell,SF,RB,6.8,14.7,14,01-09-24
58,Chris Olave,NO,WR,14.6,14.6,26,01-09-24
59,Puka Nacua,LAR,WR,7.4,14.1,27,01-09-24
60,Tre Tucker,LV,WR,6.5,14,28,01-09-24
61,Jeff Driskel,Cle,QB,14.3,13.94,18,01-09-24
62,Sam LaPorta,Det,TE,12.4,13.9,3,01-09-24
63,La'Mical Perine,KC,RB,10.1,13.9,15,01-09-24
64,Tyler Huntley,Bal,QB,13.6,13.84,19,01-09-24
65,Travis Etienne Jr.,Jax,RB,15,13.7,16,01-09-24
66,Mecole Hardman Jr.,KC,WR,6.9,13.7,29,01-09-24
67,Will Dissly,Sea,TE,1.8,13.6,4,01-09-24
