,PLAYER NAME,PLAYER TEAM,PLAYER POSITION,PROJ,TOTAL,rank,DATE
0,C.J. Stroud,Hou,QB,16.2,41.8,1,11-07-23
1,Tank Dell,Hou,WR,11,29.6,1,11-07-23
2,Dak Prescott,Dal,QB,17.4,28.36,2,11-07-23
3,CeeDee Lamb,Dal,WR,19,28.1,2,11-07-23
4,Rachaad White,TB,RB,13.3,27.9,1,11-07-23
5,Noah Brown,Hou,WR,8.1,27.3,3,11-07-23
6,Dalton Schultz,Hou,TE,10.8,27,1,11-07-23
7,Jalen Hurts,Phi,QB,21,25.88,3,11-07-23
8,Joshua Dobbs,Min,QB,0,24.92,4,11-07-23
9,Amari Cooper,Cle,WR,12.5,24.9,4,11-07-23
10,Josh Allen,Buf,QB,22.5,24.72,5,11-07-23
11,Cole Kmet,Chi,TE,9.1,23.5,2,11-07-23
12,Cade Otton,TB,TE,7.3,23,3,11-07-23
13,Rhamondre Stevenson,NE,RB,14.8,22.9,2,11-07-23
14,Stefon Diggs,Buf,WR,22.9,22.6,5,11-07-23
15,Joe Burrow,Cin,QB,18.2,22.32,6,11-07-23
16,Jake Ferguson,Dal,TE,8.5,22.1,4,11-07-23
17,Diontae Johnson,Pit,WR,13.9,22,6,11-07-23
18,Josh Jacobs,LV,RB,16.9,21.8,3,11-07-23
19,Austin Ekeler,LAC,RB,18.3,21,4,11-07-23
20,Jonnu Smith,Atl,TE,6.9,21,5,11-07-23
21,Taysom Hill,NO,TE,6.7,20.62,6,11-07-23
22,Keaton Mitchell,Bal,RB,0,20.4,5,11-07-23
23,A.J. Brown,Phi,WR,20,19.6,7,11-07-23
24,Derrick Henry,Ten,RB,16,19.2,6,11-07-23
25,Tee Higgins,Cin,WR,12.5,19,8,11-07-23
26,Baker Mayfield,TB,QB,16,19,7,11-07-23
27,Deshaun Watson,Cle,QB,15.4,18.96,8,11-07-23
28,Jonathan Taylor,Ind,RB,16.6,17.9,7.5,11-07-23
29,Aaron Jones,GB,RB,13.6,17.9,7.5,11-07-23
30,Joe Mixon,Cin,RB,15.2,17.8,9,11-07-23
31,Sam Howell,Wsh,QB,16.5,17.7,9,11-07-23
32,Alexander Mattison,Min,RB,10.5,17.3,10,11-07-23
33,Gus Edwards,Bal,RB,12.7,17.2,11,11-07-23
34,Mark Andrews,Bal,TE,12.2,17,7,11-07-23
35,Jahan Dotson,Wsh,WR,11.3,16.9,9,11-07-23
36,Derek Carr,NO,QB,14.5,16.74,10,11-07-23
37,Chris Olave,NO,WR,14.9,16.6,10,11-07-23
38,Dalton Kincaid,Buf,TE,11.4,16.1,8,11-07-23
39,Patrick Mahomes,KC,QB,21.8,15.8,11.5,11-07-23
40,Tyson Bagent,Chi,QB,12.1,15.8,11.5,11-07-23
41,Keenan Allen,LAC,WR,17.6,15.7,11,11-07-23
42,Najee Harris,Pit,RB,10.6,15.6,12,11-07-23
43,Taylor Heinicke,Atl,QB,13.5,14.72,13,11-07-23
44,Odell Beckham Jr.,Bal,WR,8.1,14.6,12,11-07-23
45,Raheem Mostert,Mia,RB,15.9,14.5,13,11-07-23
46,Michael Pittman Jr.,Ind,WR,14.2,14.4,13.5,11-07-23
47,Nico Collins,Hou,WR,14.2,14.4,13.5,11-07-23
48,Saquon Barkley,NYG,RB,18.3,14.3,14.5,11-07-23
49,Jaylen Warren,Pit,RB,10.3,14.3,14.5,11-07-23
50,DeVonta Smith,Phi,WR,13.4,14.1,15,11-07-23
51,Luke Musgrave,GB,TE,7,14.1,9,11-07-23
52,T.J. Hockenson,Min,TE,12.5,13.9,11,11-07-23
53,Hunter Henry,NE,TE,6,13.9,11,11-07-23
54,Juwan Johnson,NO,TE,5.8,13.9,11,11-07-23
55,Jalen Tolbert,Dal,WR,1.8,13.9,16,11-07-23
56,Jordan Love,GB,QB,14.7,13.82,14,11-07-23
57,Jakobi Meyers,LV,WR,12.3,13.5,17.5,11-07-23
58,Wan'Dale Robinson,NYG,WR,7,13.5,17.5,11-07-23
59,Darnell Mooney,Chi,WR,6,13.2,19,11-07-23
60,Garrett Wilson,NYJ,WR,16.1,13,20,11-07-23
61,Mike Evans,TB,WR,15.2,12.7,21,11-07-23
62,Jerome Ford,Cle,RB,11,12.7,16,11-07-23
63,Antonio Gibson,Wsh,RB,6.4,12.6,17,11-07-23
64,Tyler Conklin,NYJ,TE,6.9,12.6,13.5,11-07-23
65,David Njoku,Cle,TE,10.4,12.6,13.5,11-07-23
66,Tyreek Hill,Mia,WR,24.5,12.5,22,11-07-23
67,Tua Tagovailoa,Mia,QB,19.2,12.42,15,11-07-23
68,Terry McLaurin,Wsh,WR,14.9,12.3,23.5,11-07-23
69,Jaxon Smith-Njigba,Sea,WR,7.5,12.3,23.5,11-07-23
70,Drew Sample,Cin,TE,1.2,12,15,11-07-23
71,Brian Robinson Jr.,Wsh,RB,9.4,11.7,18,11-07-23
72,Irv Smith Jr.,Cin,TE,6.8,11.6,16,11-07-23
73,Lamar Jackson,Bal,QB,20.3,11.48,16,11-07-23
74,JuJu Smith-Schuster,NE,WR,7.8,11.1,25,11-07-23
75,Mac Jones,NE,QB,13.4,11.1,17,11-07-23
76,Alvin Kamara,NO,RB,18.2,11,19.5,11-07-23
77,Tyler Allgeier,Atl,RB,7.1,11,19.5,11-07-23
78,Kyle Philips,Ten,WR,3.2,10.8,26,11-07-23
79,Chuba Hubbard,Car,RB,9.9,10.7,21,11-07-23
